model,method,variant,n_seeds,seeds,seed_1,seed_2,seed_3,seed_4,seed_5,valid_balanced_accuracy_mean,valid_balanced_accuracy_std,valid_roc_auc_mean,valid_roc_auc_std,valid_mcc_mean,valid_mcc_std,valid_tpr_recall_mean,valid_tpr_recall_std,valid_tnr_specificity_mean,valid_tnr_specificity_std,valid_precision_mean,valid_precision_std,hem_only_recall_mean,hem_only_recall_std,threshold_mean,threshold_std,best_c_counts
mlp_large,mlp,large,5,3408|3409|3410|3411|3412,3408,3409,3410,3411,3412,0.9532371851926178,0.0010411454934927792,0.9909577718779601,0.000538658446867799,0.7759535962250955,0.01949984611615939,0.973145197997269,0.009290575273987352,0.9333291723879665,0.01068519559641232,0.6684362975938,0.03357946261157794,0.9633587786259542,0.009952980771301715,0.04808440315537155,0.04275199652731969,{}
mlp_medium,mlp,medium,5,3408|3409|3410|3411|3412,3408,3409,3410,3411,3412,0.9547567474785893,0.0009605387886104631,0.9912471533650788,0.0004223643179821874,0.7958086836606395,0.012302465127123208,0.9661356395084206,0.008184135203365715,0.943377855448758,0.006885057877214711,0.7013646132838095,0.023397844738983327,0.9572519083969465,0.010241532721373086,0.2072836220264435,0.08108544588061145,{}
mlp_small,mlp,small,5,3408|3409|3410|3411|3412,3408,3409,3410,3411,3412,0.9538888863952257,0.001410165812649503,0.9906393473425564,0.0004115841350273081,0.7926064982393405,0.01303334779345386,0.9654984069185253,0.007964757109812306,0.9422793658719261,0.006988597758738177,0.6971914528781369,0.023890851397249044,0.9610687022900763,0.00827461198041174,0.35985044836997987,0.13463229607620514,{}
roost_aviary,roost,aviary,5,3408|3409|3410|3411|3412,3408,3409,3410,3411,3412,0.9492788363883138,0.0019227275171166062,0.9885327394904833,0.00045635322811091134,0.7660432709937854,0.0085177709920696,0.967637687756031,0.00402442546179016,0.9309199850205967,0.004198519392314814,0.6578537001871498,0.012957395537984901,0.9595419847328244,0.010312409226035327,0.4691882491111755,0.04835943192099592,{}
svm_linearsvc,svm,linearsvc,5,3408|3409|3410|3411|3412,3408,3409,3410,3411,3412,0.8773267492291408,0.0004056148749440198,0.9461567438536236,6.167556096131671e-06,0.5729687927281194,0.013598484579952668,0.9075557578516159,0.01614027717104557,0.8470977406066659,0.016233636191855874,0.44992471349091595,0.02299277106904605,0.6732824427480916,0.0351476776586911,-0.2105070475912258,0.0497520650909501,"{""0.03"": 1, ""0.1"": 1, ""10"": 2, ""3"": 1}"
xgb,xgb,default,5,3408|3409|3410|3411|3412,3408,3409,3410,3411,3412,0.9508718482614398,0.0006484294507263331,0.9896945771878187,0.00013150357689417595,0.7833670059475099,0.011521301318158853,0.9622667273554848,0.005223019010856703,0.9394769691673949,0.005980560190821335,0.6861063598502619,0.020025180548100815,0.9374045801526718,0.006933550429230893,0.3683525800704956,0.08305547491807383,{}
